Key,Id,English(en),Japanese(ja)
"xbox/buttonSouth",196230203318272,"A","Aボタン"
"xbox/buttonEast",196230207512576,"B","Bボタン"
"xbox/buttonWest",196230207512577,"X","Xボタン"
"xbox/buttonNorth",196230207512578,"Y","Yボタン"
"xbox/leftShoulder",196230207512579,"LB","LB"
"xbox/rightShoulder",196230207512580,"RB","RB"
"xbox/leftTrigger",196230207512581,"LT","LT"
"xbox/rightTrigger",196230207512582,"RT","RT"
"xbox/leftStickPress",196230207512583,"Left Stick Press","左スティック押込"
"xbox/rightStickPress",196230207512584,"Right Stick Press","右スティック押込"
"xbox/start",196230207512585,"Menu","メニュー"
"xbox/select",196230207512586,"View","ビュー"
"ps/buttonSouth",196230207512587,"Cross","×ボタン"
"ps/buttonEast",196230207512588,"Circle","○ボタン"
"ps/buttonWest",196230207512589,"Square","□ボタン"
"ps/buttonNorth",196230207512590,"Triangle","△ボタン"
"ps/leftShoulder",196230207512591,"L1","L1"
"ps/rightShoulder",196230207512592,"R1","R1"
"ps/leftTrigger",196230207512593,"L2","L2"
"ps/rightTrigger",196230207512594,"R2","R2"
"ps/leftStickPress",196230207512595,"L3","L3"
"ps/rightStickPress",196230207512596,"R3","R3"
"ps/start",196230207512597,"OPTIONS","オプション"
"ps/select",196230207512598,"SHARE","シェア"
"ps/touchpadButton",196230207512599,"Touchpad","タッチパッド"
"ps/micButton",196230207512600,"Mic Mute","マイクミュート"
"ps/systemButton",196230207512601,"PS","PSボタン"
"ps/leftTriggerButton",196230207512602,"L2","L2"
"ps/rightTriggerButton",196230207512603,"R2","R2"
"switch/buttonSouth",196230207512604,"B","Bボタン"
"switch/buttonEast",196230207512605,"A","Aボタン"
"switch/buttonWest",196230207512606,"Y","Yボタン"
"switch/buttonNorth",196230207512607,"X","Xボタン"
"switch/leftShoulder",196230207512608,"L","L"
"switch/rightShoulder",196230207512609,"R","R"
"switch/leftTrigger",196230207512610,"ZL","ZL"
"switch/rightTrigger",196230207512611,"ZR","ZR"
"switch/leftStickPress",196230207512612,"Left Stick","左スティック押込"
"switch/rightStickPress",196230207512613,"Right Stick","右スティック押込"
"switch/start",196230207512614,"Plus","＋ボタン"
"switch/select",196230207512615,"Minus","－ボタン"
"switch/capture",196230207512616,"Capture","キャプチャー"
"switch/home",196230207512617,"Home","ホーム"
"a",76630990848,"A","A"
"b",76668739584,"B","B"
"c",76668739585,"C","C"
"d",76668739586,"D","D"
"e",76668739587,"E","E"
"f",76668739588,"F","F"
"g",76668739589,"G","G"
"h",76668739590,"H","H"
"i",76668739591,"I","I"
"j",76668739592,"J","J"
"k",76668739593,"K","K"
