Id	Name	InputType	HoldSeconds	InteractionVerbLocalizeKey	ReinteractionVerbLocalizeKey	RejectionMessageLocalizeKey	RequiredItemId	AcquiredId	AcquiredCount
1	Key	Instant	0	PickUp			0	1	1
2	Key	Hold	2	PickUp			0	2	1
3	Door1	Toggle	0	Open	Close	Locked_with_a_Key	2	0	0
4	Soft_Chair	Toggle	0	Move	Move		0	0	0
5	Key3	Instant	0	PickUp			0	0	0
6	Door2	Toggle	0	Open	Close	Locked_with_a_Key	3	0	0
7	Handgun	Instant	0	PickUp			0	1	1
8	Smoke	Instant	0	PickUp			0	2	1
9	Handgun Ammo	Instant	0	PickUp			0	4	12
10	Savepoint	Instant	0	Save			0	0	0
